date,sentiment_score
2023-05-29,-0.66546094
2023-05-28,-0.38558212
2023-05-27,-0.3896598
2023-05-26,-0.7460063
2023-05-25,-0.20647165
2023-05-24,-0.5613281
2023-05-23,-0.7323381
2023-05-22,-0.44119182
2023-05-21,-0.5895908
2023-05-20,-0.6055702
2023-05-19,-0.52058804
2023-05-18,-0.56849617
2023-05-17,-0.58809507
2023-05-16,-0.41830635
2023-05-15,-0.37464777
2023-05-14,-0.49095565
2023-05-13,-0.8611228
2023-05-12,-0.82406604
2023-05-11,-0.32273048
2023-05-10,-0.7820535
2023-05-09,-0.5662361
2023-05-08,-0.49458408
2023-05-07,-0.08721628
2023-05-06,-0.29000163
2023-05-05,-0.19789408
2023-05-04,-0.0007046452
2023-05-03,-0.46284357
2023-05-02,-0.6450859
2023-05-01,-0.546428
2023-04-30,-0.89750576
2023-04-29,-0.59936243
2023-04-28,-0.35225788
2023-04-27,-0.64189935
2023-04-26,-0.48053402
2023-04-25,-0.6080431
2023-04-24,-0.25854304
2023-04-23,-0.8520358
2023-04-22,-0.6031598
2023-04-21,-0.6737207
2023-04-20,-0.6078476
2023-04-19,-0.79805195
2023-04-18,-0.4858566
2023-04-17,-0.8959122
2023-04-16,-0.15132107
2023-04-15,-0.20482588
2023-04-14,-0.79611284
2023-04-13,-0.19956933
2023-04-12,-0.6460098
2023-04-11,-0.81967336
2023-04-10,-0.2421855
2023-04-09,-0.6555435
2023-04-08,-0.4130343
2023-04-07,-0.8169552
2023-04-06,-0.45611557
2023-04-05,-0.9219909
2023-04-04,-0.35953298
2023-04-03,-0.60515785
2023-04-02,-0.7873158
2023-04-01,-0.9272096
2023-03-31,-0.53369665
2023-03-30,-0.4914566
2023-03-29,-0.8454698
2023-03-28,-0.6954187
2023-03-27,-0.79629236
2023-03-26,-0.69277275
2023-03-25,-0.5221233
2023-03-24,-0.9947394
2023-03-23,-0.9973296
2023-03-22,-0.6464094
2023-03-21,-0.19501133
2023-03-20,-0.39841256
2023-03-19,-0.450631
2023-03-18,-0.7144946
2023-03-17,-0.51090497
2023-03-16,-0.89877
2023-03-15,-0.5767216
2023-03-14,-0.721315
2023-03-13,0.0012531758
2023-03-12,-0.7942166
2023-03-11,-0.7447144
2023-03-10,-0.69564945
2023-03-09,-0.92048645
2023-03-08,-0.8001343
2023-03-07,-0.95798856
2023-03-06,-0.48967925
2023-03-05,-0.44156966
2023-03-04,-0.6184532
2023-03-03,-0.40689817
2023-03-02,-0.786559
2023-03-01,-0.69669056
2023-02-28,-0.53775316
2023-02-27,-0.44749808
2023-02-26,-0.3683406
2023-02-25,-0.5419535
2023-02-24,-0.53883845
2023-02-23,-0.825535
2023-02-22,-0.36620516
2023-02-21,-0.6831053
2023-02-20,-0.5925443
2023-02-19,-0.79624677
2023-02-18,-0.4174316
2023-02-17,-0.23655865
2023-02-16,0.08675769
2023-02-15,-0.64666736
2023-02-14,-0.23827715
2023-02-13,-0.4694528
2023-02-12,-0.57879543
2023-02-11,-0.535922
2023-02-10,-0.23860392
2023-02-09,-0.7451197
2023-02-08,-0.660149
2023-02-07,-0.74683064
2023-02-06,-0.6938456
2023-02-05,-0.41568965
2023-02-04,-0.53953207
2023-02-03,-0.37569243
2023-02-02,-0.14281039
2023-02-01,-0.31285253
2023-01-31,-0.3669996
2023-01-30,-0.13429621
2023-01-29,-0.75408614
2023-01-28,-0.53380626
2023-01-27,-0.79807687
2023-01-26,-0.48156086
2023-01-25,-0.7995075
2023-01-24,-0.6279751
2023-01-23,-0.5767566
2023-01-22,-0.625838
2023-01-21,-0.50228256
2023-01-20,-0.39689583
2023-01-19,-0.4088517
2023-01-18,-0.31899893
2023-01-17,-0.5587478
2023-01-16,-0.7260352
2023-01-15,-0.9773632
2023-01-14,-0.64754
2023-01-13,-0.80860555
2023-01-12,-0.77586824
2023-01-11,-0.59837466
2023-01-10,-0.714939
2023-01-09,-0.39783087
2023-01-08,-0.88343704
2023-01-07,-0.52172816
2023-01-06,-0.50112593
2023-01-05,-0.97590744
2023-01-04,-0.43867308
2023-01-03,-0.70830333
2023-01-02,-0.85090053
2023-01-01,-0.3929536
2022-12-31,-0.81295455
2022-12-30,-0.06807095
2022-12-29,-0.66091365
2022-12-28,-0.24322307
2022-12-27,-0.39046776
2022-12-26,-0.609258
2022-12-25,-0.4106173
2022-12-24,-0.10424415
2022-12-23,-0.41626015
2022-12-22,-0.69321376
2022-12-21,-0.95159733
2022-12-20,-0.97215307
2022-12-19,-0.4667684
2022-12-18,-0.59013265
2022-12-17,-0.8787068
2022-12-16,-0.9383651
2022-12-15,-0.5827428
2022-12-14,-0.51529765
2022-12-13,-0.8052267
2022-12-12,-0.35274422
2022-12-11,-0.56765044
2022-12-10,-0.31098592
2022-12-09,-0.46242657
2022-12-08,-0.40513453
2022-12-07,-0.49936286
2022-12-06,-0.5243913
2022-12-05,-0.11136933
